File  .text     Size               Crate Name
0.0%   0.1%     169B                 std <std::panicking::begin_panic_handler::FormatStringPayload as core::panic::PanicPayload>::get
0.0%   0.1%     167B                 std __rustc::__rdl_realloc
0.0%   0.1%     166B                 std gimli::read::reader::Reader::read_offset
0.0%   0.1%     165B                 std alloc::collections::btree::map::BTreeMap<K,V,A>::entry
0.0%   0.1%     165B                 std alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle
0.0%   0.1%     164B                 std core::ptr::drop_in_place<std::io::error::Error>
0.0%   0.1%     163B                 std <alloc::string::String as core::convert::From<alloc::borrow::Cow<str>>>::from
0.0%   0.1%     162B                 std rustc_demangle::v0::Printer::print_sep_list
0.0%   0.1%     162B                 std rustc_demangle::v0::Parser::integer_62
0.0%   0.1%     161B                 std __rustc::__rust_start_panic
0.0%   0.1%     161B                 std core::slice::sort::shared::smallsort::insertion_sort_shift_left
0.0%   0.1%     160B                 std alloc::sync::Arc<T,A>::drop_slow
0.0%   0.1%     159B                 std rustc_demangle::v0::Parser::hex_nibbles
0.0%   0.1%     159B                 std core::ptr::drop_in_place<core::option::Option<gimli::read::line::IncompleteLineProgram<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEnd...
0.0%   0.1%     158B                 std alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>::push_with_handle
0.0%   0.1%     157B                 std rustc_demangle::v0::Printer::print_sep_list
0.0%   0.1%     156B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.1%     153B                 std <char as core::fmt::Debug>::fmt
0.0%   0.1%     152B                std? <std::io::default_write_fmt::Adapter<T> as core::fmt::Write>::write_str
0.0%   0.1%     151B                 std rustc_demangle::v0::Printer::print_sep_list
0.0%   0.1%     150B                 std core::ptr::drop_in_place<gimli::read::line::LineRows<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>,gimli::read::line::Incomplete...
0.0%   0.1%     149B                 std core::fmt::num::imp::<impl core::fmt::Display for u8>::fmt
0.0%   0.1%     147B                 std std::sys::pal::common::small_c_string::run_with_cstr_allocating
0.0%   0.1%     145B                 std <&T as core::fmt::Display>::fmt
0.0%   0.1%     144B                 std core::ptr::drop_in_place<alloc::vec::Vec<addr2line::line::LineSequence>>
0.0%   0.1%     141B                 std core::ptr::drop_in_place<alloc::boxed::Box<panic_unwind::imp::Exception>>
0.0%   0.1%     140B                 std __rustc::__rdl_alloc_zeroed
0.0%   0.1%     140B                 std core::str::validations::next_code_point
